Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	1.0	294.522	6.614%	39.601	3.003%	0.00848	0.999
G1_2	3226	0.999	228.93	7.096%	30.945	3.579%	0.01398	0.999
G1_3	2672	0.997	313.375	11.728%	63.663	7.67%	0.01908	0.997
G1_4	2361	0.998	267.561	11.333%	44.155	6.989%	0.02007	0.997
G1_5	4272	0.998	400.882	9.384%	62.812	6.091%	0.01186	0.998
G1_6	2031	0.997	255.261	12.568%	42.464	7.525%	0.02211	0.997
G1_7	5034	0.999	338.827	6.731%	46.704	3.271%	0.00884	0.999
G1_8	4359	0.999	300.0	6.882%	44.102	3.691%	0.00818	0.999
G1_9	1287	0.996	188.788	14.669%	29.297	8.907%	0.03993	0.996
G1_10	1358	0.998	184.502	13.586%	24.812	6.077%	0.04316	0.998
G1_11	1282	0.994	225.343	17.577%	40.847	11.26%	0.04363	0.993
G1_12	4100	0.998	372.868	9.094%	58.39	5.49%	0.01177	0.998
G1_13	1512	0.998	185.172	12.247%	28.82	6.582%	0.02831	0.998
G1_14	1470	0.998	168.863	11.487%	25.167	5.865%	0.02958	0.998
G1_15	4595	0.999	348.339	7.581%	46.849	4.225%	0.00819	0.999
G1_16	1668	0.993	282.367	16.928%	57.943	12.127%	0.03607	0.992
G1_17	4363	0.998	419.901	9.624%	75.842	5.973%	0.0116	0.998
G1_18	2235	0.997	276.584	12.375%	45.7	7.693%	0.02206	0.997
G1_19	2563	0.999	209.993	8.193%	29.03	3.716%	0.01513	0.999
G1_20	1438	0.996	225.463	15.679%	39.308	9.22%	0.03315	0.995
G1_21	1996	0.996	263.204	13.187%	45.718	8.696%	0.02389	0.996
G1_22	1898	0.998	220.798	11.633%	31.216	6.14%	0.02289	0.998
G1_23	4766	0.999	366.533	7.691%	49.191	3.736%	0.01083	0.999
G2_1	987	0.994	171.639	17.39%	28.236	11.068%	0.04511	0.993
G2_2	4306	0.999	358.243	8.32%	47.396	3.816%	0.01157	0.999
G2_3	3841	0.999	346.954	9.033%	66.823	5.235%	0.01229	0.999
G2_4	5042	1.0	329.575	6.537%	45.194	2.973%	0.00967	1.0
G2_5	2052	0.999	219.933	10.718%	30.822	4.842%	0.02564	0.999
G2_6	1947	0.998	229.767	11.801%	41.96	6.967%	0.02079	0.997
G2_7	4061	1.0	276.399	6.806%	36.301	3.094%	0.0097	0.999
G2_8	2227	0.998	251.749	11.304%	38.382	6.16%	0.01902	0.998
G2_9	4776	1.0	347.799	7.282%	48.329	3.009%	0.01056	1.0
G2_10	4032	0.999	257.212	6.379%	38.042	3.236%	0.00983	0.999
G2_11	4983	0.999	446.415	8.959%	64.973	5.165%	0.01125	0.998
G2_12	1364	0.997	200.487	14.698%	33.173	7.898%	0.04298	0.996
G2_13	2026	0.999	183.483	9.056%	27.562	4.486%	0.01841	0.999
G2_14	2157	0.999	223.884	10.379%	30.587	5.183%	0.0183	0.999
G2_15	2532	0.999	242.156	9.564%	35.86	4.213%	0.01848	0.999
G2_16	1865	0.999	173.467	9.301%	24.452	4.11%	0.01967	0.999
G2_17	2833	0.999	250.13	8.829%	42.199	4.15%	0.01371	0.999
G2_18	3536	1.0	241.871	6.84%	35.741	3.132%	0.01276	0.999
G2_19	2082	0.998	253.848	12.193%	37.084	6.403%	0.02805	0.998
G2_20	3685	0.999	290.035	7.871%	40.301	3.657%	0.01146	0.999
G2_21	4374	0.999	389.857	8.913%	58.946	5.039%	0.0112	0.999
G2_22	531	0.99	136.135	25.637%	20.141	14.072%	0.09485	0.989
G2_23	2208	0.998	237.303	10.747%	38.022	5.539%	0.02275	0.998
G2_24	1456	0.997	230.37	15.822%	36.682	8.112%	0.04104	0.996
G2_25	2732	0.999	248.173	9.084%	37.534	4.431%	0.0155	0.999
G2_26	1583	0.997	227.113	14.347%	34.41	7.181%	0.03759	0.997
G2_27	3764	0.999	338.595	8.996%	54.989	4.988%	0.01356	0.999
G2_28	4527	0.999	318.128	7.027%	46.969	3.641%	0.00937	0.999
G2_29	4836	0.999	332.012	6.865%	63.424	4.382%	0.00804	0.999
G2_30	4960	0.999	345.599	6.968%	52.896	3.444%	0.00998	0.999
G2_31	804	0.996	157.174	19.549%	22.27	9.759%	0.05845	0.995
G2_32	2631	0.999	260.296	9.893%	39.462	5.103%	0.01828	0.999
G2_33	1948	0.999	195.891	10.056%	27.978	4.576%	0.02074	0.999
G2_34	1221	0.997	176.432	14.45%	26.407	7.978%	0.03512	0.997
G2_35	2774	0.999	239.299	8.626%	35.372	4.254%	0.01718	0.999
G2_36	1565	0.997	233.584	14.925%	32.513	7.574%	0.03353	0.997
G2_37	2162	0.998	254.458	11.77%	37.962	6.334%	0.02209	0.998
G2_38	3072	0.999	278.397	9.062%	40.637	4.668%	0.01688	0.999
G2_39	3424	0.998	362.508	10.587%	56.395	6.012%	0.01572	0.998
G2_40	979	0.998	144.082	14.717%	20.275	6.685%	0.0459	0.998
G2_41	1741	0.999	173.628	9.973%	22.969	4.647%	0.02247	0.999
G2_42	3695	0.999	282.398	7.643%	44.143	3.906%	0.01075	0.999
G2_43	2091	0.998	260.865	12.476%	38.842	6.348%	0.02688	0.998
G2_44	3214	0.999	306.709	9.543%	47.172	4.711%	0.01283	0.999
G2_45	3487	0.999	288.688	8.279%	50.337	4.313%	0.00968	0.999
G2_46	1579	0.998	208.757	13.221%	32.662	7.042%	0.03014	0.997
G2_47	931	0.995	163.242	17.534%	28.239	9.692%	0.0634	0.995
G2_48	3198	0.998	328.667	10.277%	59.647	6.83%	0.01237	0.997
G2_49	2484	0.999	228.493	9.199%	31.969	4.296%	0.01654	0.999
G2_50	4625	0.999	329.338	7.121%	56.404	3.764%	0.00701	0.999
G2_51	2513	0.999	282.963	11.26%	41.669	5.46%	0.02012	0.998
G2_52	3129	0.999	299.0	9.556%	47.039	5.199%	0.01629	0.998
G2_53	1307	0.997	184.051	14.082%	27.313	7.129%	0.03931	0.997
G2_54	3814	0.999	321.256	8.423%	51.428	4.352%	0.01084	0.999
G2_55	2702	0.999	255.614	9.46%	34.219	4.53%	0.01879	0.999
G2_56	4295	0.999	325.248	7.573%	47.401	3.996%	0.01001	0.999
G2_57	2326	0.999	239.746	10.307%	33.671	4.489%	0.02434	0.999
G2_58	3040	0.998	300.725	9.892%	51.007	6.062%	0.01254	0.998
G2_59	1113	0.997	154.802	13.909%	23.514	7.67%	0.03768	0.997
G2_60	3285	0.998	377.983	11.506%	60.16	6.089%	0.02327	0.998
G2_61	4902	0.999	337.216	6.879%	48.683	3.343%	0.00839	0.999
G2_62	1017	0.996	157.122	15.45%	23.605	8.647%	0.04128	0.996
G2_63	1327	0.996	206.208	15.539%	35.839	8.402%	0.04115	0.996
G2_64	3504	0.999	332.585	9.492%	51.69	4.664%	0.01212	0.999
G2_65	1745	0.998	214.57	12.296%	30.697	5.656%	0.02674	0.998
G2_66	4709	0.999	367.833	7.811%	72.264	4.229%	0.00855	0.999
G2_67	2583	0.998	261.518	10.125%	37.31	5.657%	0.01846	0.998
G2_68	3891	0.999	322.518	8.289%	46.653	3.967%	0.01349	0.999
G2_69	1981	0.999	192.121	9.698%	28.852	5.287%	0.01991	0.998
G2_70	3681	0.999	374.957	10.186%	58.584	5.345%	0.01521	0.998
G2_71	1959	0.998	238.093	12.154%	35.944	6.517%	0.02554	0.998
G2_72	3054	0.998	346.21	11.336%	53.579	6.234%	0.0204	0.998
G2_73	2423	0.999	246.568	10.176%	34.301	4.931%	0.01475	0.999
G3_1	2181	1.0	205.413	9.418%	27.51	3.256%	0.02787	0.999
G3_2	4840	1.0	295.344	6.102%	47.096	2.353%	0.0109	1.0
G3_3	737	0.999	98.096	13.31%	12.646	4.383%	0.05534	0.999
G3_4	4459	1.0	344.894	7.735%	56.143	3.137%	0.01037	0.999
G3_5	1883	0.999	226.953	12.053%	41.107	5.482%	0.03334	0.998
G3_6	1044	0.998	149.113	14.283%	22.617	5.718%	0.04926	0.998
G3_7	1587	0.999	173.68	10.944%	28.007	4.233%	0.03519	0.999
G3_8	2192	0.999	206.149	9.405%	32.393	3.433%	0.02601	0.999
G3_9	3946	1.0	278.626	7.061%	43.83	2.603%	0.01236	1.0
G3_10	3394	0.999	275.251	8.11%	45.051	3.346%	0.012	0.999
G3_11	4342	1.0	336.284	7.745%	50.432	3.069%	0.01205	1.0
G3_12	4806	0.999	316.982	6.596%	75.009	3.364%	0.01236	0.999
G3_13	2750	0.999	260.223	9.463%	42.939	4.422%	0.01658	0.999
G3_14	2005	0.999	170.123	8.485%	26.536	3.42%	0.02159	0.999
G3_15	3893	1.0	210.214	5.4%	29.078	1.881%	0.00922	1.0
G3_16	957	0.999	117.379	12.265%	18.85	4.617%	0.0543	0.999
G3_17	1298	0.996	227.243	17.507%	36.995	8.711%	0.04749	0.996
G3_18	2578	1.0	199.994	7.758%	33.444	2.979%	0.01795	1.0
G3_19	1631	0.999	179.244	10.99%	25.414	4.221%	0.02727	0.999
G3_20	3862	1.0	232.348	6.016%	32.195	1.986%	0.01241	1.0
G3_21	1153	0.998	158.933	13.784%	23.569	5.578%	0.04764	0.998
G3_22	3197	0.999	331.689	10.375%	54.501	5.068%	0.01767	0.999
G3_23	3413	1.0	239.008	7.003%	42.144	2.96%	0.01883	1.0
G3_24	1079	0.999	133.699	12.391%	18.207	4.399%	0.03983	0.999
G3_25	4095	1.0	257.255	6.282%	47.79	2.402%	0.00807	1.0
G3_26	691	0.999	103.144	14.927%	15.016	5.0%	0.05727	0.999
G3_27	1213	0.999	163.536	13.482%	22.093	4.63%	0.05159	0.999
G3_28	3180	1.0	180.392	5.673%	28.743	1.909%	0.0089	1.0
G3_29	1714	1.0	156.733	9.144%	22.919	3.095%	0.02386	0.999
G3_30	5047	1.0	303.991	6.023%	46.49	2.058%	0.01032	1.0
G3_31	2940	1.0	235.657	8.016%	38.825	3.045%	0.01953	1.0
G3_32	683	0.999	109.889	16.089%	16.497	5.457%	0.07014	0.998
G3_33	2164	1.0	157.749	7.29%	22.202	2.299%	0.02183	1.0
G3_34	4961	1.0	256.743	5.175%	43.346	1.981%	0.00733	1.0
G3_35	1992	1.0	177.536	8.912%	25.346	3.049%	0.02614	1.0
G3_36	659	0.999	105.55	16.017%	14.862	5.579%	0.07626	0.998
G3_37	3844	1.0	251.301	6.537%	38.615	2.435%	0.01387	1.0
G3_38	2100	1.0	168.422	8.02%	23.57	2.902%	0.01644	1.0
G3_39	3055	0.999	252.204	8.255%	53.26	3.796%	0.01545	0.999
G3_40	4104	0.999	345.61	8.421%	59.839	3.961%	0.01417	0.999
G3_41	4147	1.0	322.138	7.768%	48.363	3.037%	0.01339	1.0
G3_42	2484	0.999	208.007	8.374%	38.913	3.417%	0.02268	0.999
G3_43	4102	1.0	297.31	7.248%	46.584	2.751%	0.01394	1.0
G3_44	2424	1.0	162.804	6.716%	23.58	2.062%	0.01565	1.0
G3_45	1273	0.999	136.104	10.692%	18.439	3.752%	0.03856	0.999
G3_46	1583	0.999	161.59	10.208%	22.925	3.727%	0.0227	0.999
G3_47	1494	0.999	140.208	9.385%	20.74	3.204%	0.02934	0.999
G3_48	1440	1.0	123.159	8.553%	17.631	2.375%	0.03405	1.0
G3_49	2810	0.999	263.38	9.373%	46.155	4.132%	0.01768	0.999
G3_50	2946	1.0	222.061	7.538%	33.469	2.952%	0.01712	1.0
G3_51	3774	1.0	250.729	6.644%	40.684	2.801%	0.01208	1.0
G3_52	1839	0.999	221.278	12.033%	43.263	5.499%	0.02809	0.999
G3_53	1326	0.999	165.661	12.493%	30.248	5.195%	0.04247	0.999
G3_54	871	0.999	123.912	14.226%	17.354	4.855%	0.05413	0.999
G3_55	4792	1.0	252.518	5.27%	37.526	1.718%	0.00739	1.0
