Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
G2_57	3.76E+01	2.34E+00	1.76E+01	2.95E+01	8.01E+00
G2_58	4.58E+01	5.42E+00	0.00E+00	3.61E+01	1.04E+01
G2_59	1.61E+01	2.03E+00	1.28E+01	1.43E+01	4.00E+00
G2_60	4.22E+01	3.34E+00	2.30E+01	3.94E+01	7.78E+00
G2_61	7.02E+01	2.31E+00	3.09E+01	5.75E+01	6.57E+00
G2_62	9.54E+00	8.44E-01	8.59E+00	1.13E+01	3.52E+00
G2_63	2.23E+01	2.21E+00	1.42E+01	1.69E+01	4.94E+00
G2_64	5.94E+01	3.74E+00	2.66E+01	4.40E+01	8.51E+00
G2_65	2.51E+01	1.63E+00	1.35E+01	1.79E+01	4.31E+00
G2_66	9.33E+01	3.80E+00	7.43E+01	8.04E+01	8.30E+00
G2_67	3.04E+01	3.65E+00	4.83E+01	5.59E+01	9.45E+00
G2_68	4.10E+01	2.94E+00	2.15E+01	3.43E+01	1.10E+01
G2_69	2.17E+01	3.16E+00	1.80E+01	2.16E+01	4.11E+00
G2_70	4.48E+01	2.95E+00	2.43E+01	3.47E+01	8.63E+00
G2_71	2.65E+01	1.85E+00	1.89E+01	2.84E+01	6.05E+00
G2_72	3.09E+01	2.62E+00	2.87E+01	3.30E+01	7.25E+00
G2_73	3.63E+01	2.68E+00	2.60E+01	2.95E+01	7.89E+00
G3_1	2.39E+00	2.57E+01	2.05E+01	1.89E+01	3.77E+00
G3_2	5.54E+00	6.84E+01	6.14E+01	2.82E+01	5.05E+00
G3_3	1.46E+00	1.28E+01	6.84E+00	1.21E+01	1.87E+00
G3_4	8.02E+00	5.83E+01	4.15E+01	5.09E+01	8.13E+00
G3_5	1.58E+00	2.81E+01	1.59E+01	2.26E+01	6.67E+00
G3_6	2.04E+00	1.71E+01	1.02E+01	1.56E+01	4.26E+00
G3_7	1.80E+00	2.08E+01	1.94E+01	1.01E+01	5.17E+00
G3_8	3.64E+00	2.43E+01	2.36E+01	1.18E+01	5.51E+00
G3_9	5.35E+00	6.96E+01	4.66E+01	3.61E+01	7.37E+00
G3_10	2.61E+00	4.38E+01	3.66E+01	3.10E+01	3.58E+00
G3_11	5.60E+00	5.65E+01	3.25E+01	4.79E+01	6.53E+00
G3_12	3.31E+00	7.97E+01	8.52E+01	1.39E+01	5.48E+00
G3_13	6.04E+00	3.53E+01	2.59E+01	3.47E+01	4.41E+00
G3_14	2.28E+00	2.91E+01	2.11E+01	1.89E+01	3.09E+00
G3_15	2.38E+00	4.59E+01	4.15E+01	2.76E+01	9.17E+00
G3_16	1.71E+00	1.54E+01	1.25E+01	8.32E+00	2.35E+00
G3_17	2.31E+00	1.40E+01	1.93E+01	2.59E+01	5.52E+00
G3_18	2.02E+00	4.54E+01	4.50E+01	1.20E+01	6.25E+00
G3_19	3.11E+00	2.77E+01	1.79E+01	1.80E+01	4.64E+00
G3_20	5.01E+00	6.42E+01	6.04E+01	2.12E+01	6.32E+00
G3_21	2.80E+00	1.65E+01	1.12E+01	1.76E+01	2.06E+00
G3_22	3.42E+00	3.14E+01	3.38E+01	5.28E+01	6.26E+00
G3_23	3.13E+00	4.95E+01	3.73E+01	2.27E+01	4.62E+00
G3_24	2.72E+00	1.47E+01	1.38E+01	1.00E+01	6.03E+00
G3_25	3.95E+00	7.55E+01	8.10E+01	1.11E+01	6.40E+00
G3_26	0.00E+00	1.33E+01	7.30E+00	1.47E+01	2.40E+00
G3_27	3.10E+00	1.73E+01	1.34E+01	7.58E+00	4.77E+00
G3_28	3.89E+00	5.45E+01	6.48E+01	2.00E+01	3.16E+00
G3_29	1.94E+00	2.48E+01	2.41E+01	1.06E+01	6.27E+00
G3_30	4.83E+00	7.75E+01	8.35E+01	1.59E+01	4.89E+00
G3_31	4.22E+00	4.45E+01	4.34E+01	1.83E+01	4.77E+00
G3_32	2.48E+00	1.20E+01	9.66E+00	4.62E+00	6.00E-01
G3_33	2.31E+00	3.86E+01	3.91E+01	1.26E+01	5.52E+00
G3_34	5.10E+00	7.14E+01	7.84E+01	2.31E+01	8.48E+00
G3_35	2.67E+00	2.75E+01	2.35E+01	1.40E+01	5.00E+00
G3_36	1.27E+00	1.05E+01	7.59E+00	6.47E+00	1.49E+00
G3_37	2.06E+00	5.66E+01	3.38E+01	2.98E+01	5.27E+00
G3_38	4.17E+00	3.23E+01	2.03E+01	2.77E+01	2.74E+00
G3_39	2.60E+00	4.51E+01	4.75E+01	1.18E+01	8.73E+00
G3_40	4.30E+00	4.38E+01	3.19E+01	4.84E+01	6.61E+00
G3_41	7.21E+00	5.67E+01	3.24E+01	4.96E+01	7.44E+00
G3_42	1.38E+00	4.39E+01	4.78E+01	2.20E+00	3.93E+00
G3_43	3.57E+00	6.78E+01	5.54E+01	2.60E+01	9.68E+00
G3_44	2.72E+00	4.44E+01	4.82E+01	1.21E+01	4.39E+00
G3_45	1.08E+00	1.67E+01	8.28E+00	1.89E+01	3.08E+00
G3_46	3.93E+00	2.58E+01	1.25E+01	2.75E+01	4.72E+00
G3_47	1.76E+00	2.30E+01	2.28E+01	7.51E+00	3.11E+00
G3_48	1.56E+00	2.26E+01	3.28E+01	1.43E+01	4.06E+00
G3_49	2.98E+00	3.42E+01	2.88E+01	2.78E+01	8.71E+00
G3_50	2.68E+00	3.64E+01	2.58E+01	3.10E+01	5.30E+00
G3_51	5.57E+00	4.75E+01	3.56E+01	4.43E+01	5.82E+00
G3_52	3.10E+00	2.90E+01	2.25E+01	1.57E+01	3.07E+00
G3_53	1.90E+00	2.33E+01	2.37E+01	8.35E+00	3.72E+00
G3_54	2.20E+00	1.28E+01	1.45E+01	4.52E+00	3.69E+00
G3_55	5.31E+00	7.63E+01	6.99E+01	2.22E+01	6.51E+00
