Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	0.996	841.661	18.901%	174.984	13.267%	0.02975	0.997
G1_2	3226	0.991	821.254	25.457%	162.738	18.824%	0.04879	0.993
G1_3	2672	0.996	417.801	15.636%	92.632	11.16%	0.02293	0.996
G1_4	2361	0.988	629.337	26.656%	128.79	20.384%	0.05449	0.989
G1_5	4272	0.992	889.86	20.83%	172.093	16.687%	0.03574	0.992
G1_6	2031	0.993	440.683	21.698%	85.377	15.13%	0.04296	0.993
G1_7	5034	0.999	345.388	6.861%	48.807	3.419%	0.00925	0.999
G1_8	4359	0.989	1247.069	28.609%	251.03	21.008%	0.05625	0.991
G1_9	1287	0.981	434.912	33.793%	81.202	24.686%	0.09038	0.981
G1_10	1358	0.997	273.949	20.173%	42.408	10.387%	0.05467	0.996
G1_11	1282	0.99	317.506	24.766%	59.568	16.421%	0.06365	0.989
G1_12	4100	0.991	1014.412	24.742%	194.872	18.321%	0.0437	0.991
G1_13	1512	0.977	617.786	40.859%	131.749	30.089%	0.12242	0.981
G1_14	1470	0.993	372.017	25.307%	70.158	16.349%	0.06175	0.994
G1_15	4595	0.994	830.728	18.079%	162.542	14.658%	0.02433	0.994
G1_16	1668	0.986	470.198	28.189%	102.17	21.383%	0.0718	0.986
G1_17	4363	0.998	439.438	10.072%	74.641	5.879%	0.01179	0.998
G1_18	2235	0.997	282.137	12.624%	48.977	8.245%	0.02122	0.996
G1_19	2563	0.999	327.55	12.78%	56.058	7.175%	0.02225	0.999
G1_20	1438	0.99	381.98	26.563%	79.624	18.675%	0.06347	0.99
G1_21	1996	0.988	535.896	26.848%	105.157	20.003%	0.05576	0.988
G1_22	1898	0.997	267.012	14.068%	40.694	8.005%	0.02587	0.997
G1_23	4766	0.992	1150.252	24.135%	242.139	18.392%	0.04274	0.993
G2_1	987	0.991	235.219	23.832%	42.933	16.829%	0.069	0.99
G2_2	4306	0.998	581.966	13.515%	107.948	8.691%	0.02215	0.998
G2_3	3841	0.998	422.646	11.004%	95.66	7.493%	0.01404	0.998
G2_4	5042	1.0	348.112	6.904%	49.618	3.264%	0.00945	0.999
G2_5	2052	0.998	254.179	12.387%	37.987	5.967%	0.02787	0.998
G2_6	1947	0.997	255.821	13.139%	47.079	7.817%	0.0212	0.997
G2_7	4061	0.999	393.214	9.683%	62.447	5.323%	0.01304	0.999
G2_8	2227	0.998	320.641	14.398%	55.612	8.925%	0.0257	0.997
G2_9	4776	0.999	432.958	9.065%	80.915	5.037%	0.01284	0.999
G2_10	4032	0.999	383.096	9.501%	66.992	5.698%	0.0142	0.999
G2_11	4983	0.996	824.963	16.556%	157.437	12.516%	0.02873	0.996
G2_12	1364	0.996	218.579	16.025%	38.401	9.143%	0.04489	0.996
G2_13	2026	0.999	198.231	9.784%	29.383	4.783%	0.02085	0.999
G2_14	2157	0.997	368.379	17.078%	66.186	11.215%	0.03325	0.998
G2_15	2532	0.999	365.943	14.453%	70.051	8.231%	0.02532	0.999
G2_16	1865	0.999	189.923	10.184%	28.088	4.721%	0.02138	0.999
G2_17	2833	0.998	446.835	15.773%	100.907	9.924%	0.02484	0.999
G2_18	3536	0.999	321.556	9.094%	59.391	5.205%	0.01511	0.999
G2_19	2082	0.997	276.401	13.276%	44.732	7.723%	0.02938	0.997
G2_20	3685	0.999	284.894	7.731%	41.768	3.791%	0.01212	0.999
G2_21	4374	0.998	559.781	12.798%	104.521	8.935%	0.01921	0.997
G2_22	531	0.984	173.008	32.582%	33.531	23.426%	0.12195	0.983
G2_23	2208	0.998	241.953	10.958%	40.313	5.873%	0.02355	0.998
G2_24	1456	0.997	228.609	15.701%	37.001	8.183%	0.04128	0.996
G2_25	2732	0.999	248.741	9.105%	39.379	4.649%	0.01515	0.999
G2_26	1583	0.997	249.438	15.757%	38.047	7.94%	0.04145	0.997
G2_27	3764	0.998	390.834	10.383%	62.547	5.674%	0.01758	0.998
G2_28	4527	0.999	417.834	9.23%	69.147	5.36%	0.01249	0.999
G2_29	4836	0.999	383.068	7.921%	77.009	5.321%	0.00938	0.999
G2_30	4960	0.999	377.77	7.616%	58.186	3.789%	0.01033	0.999
G2_31	804	0.995	165.941	20.639%	26.784	11.737%	0.06397	0.995
G2_32	2631	0.999	270.901	10.297%	42.642	5.515%	0.01926	0.998
G2_33	1948	0.999	206.088	10.579%	32.655	5.341%	0.023	0.999
G2_34	1221	0.996	217.566	17.819%	36.005	10.877%	0.05323	0.996
G2_35	2774	0.999	257.588	9.286%	38.729	4.658%	0.01664	0.999
G2_36	1565	0.995	303.581	19.398%	51.796	12.066%	0.04582	0.995
G2_37	2162	0.997	340.822	15.764%	59.011	9.847%	0.0312	0.997
G2_38	3072	0.998	342.243	11.141%	58.427	6.711%	0.02049	0.998
G2_39	3424	0.997	483.767	14.129%	86.624	9.235%	0.02273	0.997
G2_40	979	0.998	144.87	14.798%	21.138	6.969%	0.04778	0.997
G2_41	1741	0.999	211.006	12.12%	29.717	6.012%	0.02607	0.998
G2_42	3695	0.999	301.74	8.166%	47.416	4.195%	0.01169	0.999
G2_43	2091	0.998	265.98	12.72%	43.234	7.065%	0.02917	0.998
G2_44	3214	0.999	327.342	10.185%	52.933	5.286%	0.01487	0.999
G2_45	3487	0.999	323.511	9.278%	53.351	4.571%	0.01189	0.999
G2_46	1579	0.997	233.553	14.791%	38.173	8.23%	0.0323	0.997
G2_47	931	0.995	192.514	20.678%	33.513	11.503%	0.06959	0.994
G2_48	3198	0.996	445.658	13.936%	92.886	10.636%	0.02389	0.996
G2_49	2484	0.999	229.678	9.246%	34.006	4.569%	0.01647	0.999
G2_50	4625	0.999	314.099	6.791%	54.332	3.626%	0.0064	0.999
G2_51	2513	0.998	306.027	12.178%	46.914	6.147%	0.0218	0.998
G2_52	3129	0.998	360.06	11.507%	58.392	6.454%	0.01886	0.998
G2_53	1307	0.997	188.318	14.408%	28.145	7.346%	0.04204	0.997
G2_54	3814	0.999	329.101	8.629%	56.037	4.742%	0.01028	0.999
G2_55	2702	0.999	298.95	11.064%	45.329	6.001%	0.02339	0.998
G2_56	4295	0.998	597.908	13.921%	114.184	9.626%	0.02206	0.998
G2_57	2326	0.999	296.031	12.727%	51.575	6.876%	0.02685	0.999
G2_58	3040	0.994	656.96	21.611%	156.927	18.65%	0.03559	0.994
G2_59	1113	0.996	180.233	16.193%	30.539	9.961%	0.04261	0.996
G2_60	3285	0.998	374.436	11.398%	58.722	5.944%	0.0217	0.998
G2_61	4902	0.999	360.485	7.354%	54.479	3.74%	0.00967	0.999
G2_62	1017	0.994	195.279	19.201%	33.235	12.175%	0.04629	0.994
G2_63	1327	0.996	238.52	17.974%	43.833	10.277%	0.04581	0.996
G2_64	3504	0.999	347.588	9.92%	54.008	4.873%	0.01299	0.999
G2_65	1745	0.998	213.849	12.255%	32.177	5.929%	0.02695	0.998
G2_66	4709	0.999	471.202	10.006%	108.683	6.36%	0.01441	0.999
