NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	269.468	11.234	46.073	5.927	0.024	0.998	10000.0
2	268.601	11.224	46.569	5.986	0.025	0.998	10000.0
3	269.788	11.219	46.883	5.964	0.025	0.998	10000.0
4	272.807	11.322	47.479	6.057	0.026	0.998	10000.0
5	270.612	11.253	46.897	5.978	0.025	0.998	10000.0
6	271.219	11.271	46.947	6.014	0.024	0.998	10000.0
7	267.963	11.149	45.681	5.872	0.025	0.998	10000.0
8	268.799	11.133	46.395	5.864	0.025	0.998	10000.0
9	269.833	11.216	46.151	5.879	0.025	0.998	10000.0
10	267.298	11.156	45.468	5.839	0.025	0.998	10000.0
