Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
G3_36	10	364	184	0	3	0	98	0	0
G3_37	17	2107	1465	0	21	50	184	0	0
G3_38	28	1191	127	320	22	0	264	148	0
G3_39	16	2121	520	0	66	3	215	114	0
G3_40	42	1653	787	1098	45	0	0	0	479
G3_41	12	2339	490	234	47	177	787	61	0
G3_42	14	1606	779	0	30	0	55	0	0
G3_43	55	2439	587	513	81	0	427	0	0
G3_44	40	1732	177	286	12	0	177	0	0
G3_45	6	671	184	325	15	0	46	26	0
G3_46	0	690	142	95	11	101	71	0	473
G3_47	10	925	214	336	9	0	0	0	0
G3_48	8	1150	114	103	18	0	0	47	0
G3_49	33	1489	841	0	44	0	403	0	0
G3_50	28	1306	508	573	54	0	0	0	477
G3_51	48	1976	676	738	65	0	271	0	0
G3_52	2	789	227	0	0	83	0	0	738
G3_53	10	831	307	0	12	0	166	0	0
G3_54	19	512	67	189	16	0	18	50	0
G3_55	5	2815	367	385	18	127	0	40	1035
